run_id,minute_ts,bar_time_utc,p_close_mid,x_close_mid,ratio_close_mid,mean,std,z_mid,cross_up,cross_down,pos,ratio_exec_L,ratio_exec_S,z_exec_L,z_exec_S,p_last,p_bid,p_ask,x_last,x_bid,x_ask,signal,note,t,trades_count,trades_events,trades_actions,trades_reason_sample
20260304_161508_ecbf428e,1772640900,2026-03-04 16:15:00,5152.04,5123.85,0.55,0.63,0.05,-1.8,,,,0.55,0.55,-1.78,-1.82,5152.05,5152.04,5152.05,5123.9,5123.8,5123.9,,,2026-03-04 16:15:00+00:00,0,,,
20260304_161508_ecbf428e,1772640960,2026-03-04 16:16:00,5155.43,5126.0,0.57,0.63,0.05,-1.28,,,,0.57,0.57,-1.32,-1.37,5154.71,5155.43,5155.44,5125.9,5126.1,5126.2,,,2026-03-04 16:16:00+00:00,0,,,
20260304_161508_ecbf428e,1772641020,2026-03-04 16:17:00,5152.48,5124.9,0.54,0.63,0.05,-2.04,,,,0.55,0.55,-1.71,-1.75,5153.62,5153.17,5153.18,5124.8,5124.8,5124.9,,,2026-03-04 16:17:00+00:00,0,,,
20260304_161508_ecbf428e,1772641080,2026-03-04 16:18:00,5154.92,5125.95,0.56,0.63,0.05,-1.46,,,,0.56,0.56,-1.43,-1.48,5153.91,5154.92,5154.93,5125.9,5125.9,5126.0,,,2026-03-04 16:18:00+00:00,0,,,
20260304_161508_ecbf428e,1772641140,2026-03-04 16:19:00,5154.9,5126.65,0.55,0.63,0.05,-1.75,,,,0.55,0.55,-1.68,-1.73,5154.91,5154.89,5154.91,5126.7,5126.5,5126.6,,,2026-03-04 16:19:00+00:00,0,,,
20260304_161508_ecbf428e,1772641200,2026-03-04 16:20:00,5159.68,5129.95,0.58,0.63,0.05,-1.14,,,,0.57,0.57,-1.27,-1.32,5159.95,5159.3,5159.32,5130.0,5129.9,5130.0,,,2026-03-04 16:20:00+00:00,0,,,
20260304_161508_ecbf428e,1772641260,2026-03-04 16:21:00,5154.06,5125.45,0.56,0.63,0.05,-1.59,,,,0.56,0.56,-1.56,-1.61,5154.06,5154.05,5154.07,5125.4,5125.4,5125.5,,,2026-03-04 16:21:00+00:00,0,,,
20260304_161508_ecbf428e,1772641320,2026-03-04 16:22:00,5151.0,5123.05,0.54,0.63,0.05,-1.84,,,,0.54,0.54,-1.88,-2.01,5152.33,5150.05,5150.07,5124.5,5122.2,5122.5,,,2026-03-04 16:22:00+00:00,0,,,
20260304_161508_ecbf428e,1772641380,2026-03-04 16:23:00,5148.57,5120.05,0.56,0.63,0.05,-1.6,,,,0.56,0.55,-1.57,-1.62,5148.57,5148.56,5148.57,5120.1,5120.0,5120.1,,,2026-03-04 16:23:00+00:00,0,,,
20260304_161508_ecbf428e,1772641440,2026-03-04 16:24:00,5148.8,5119.55,0.57,0.63,0.05,-1.29,,,,0.57,0.57,-1.27,-1.31,5147.69,5148.79,5148.8,5119.4,5119.5,5119.6,,,2026-03-04 16:24:00+00:00,0,,,
20260304_161508_ecbf428e,1772641500,2026-03-04 16:25:00,5157.98,5128.15,0.58,0.63,0.05,-1.07,,,,0.58,0.57,-1.15,-1.2,5157.57,5158.22,5158.24,5128.1,5128.6,5128.7,,,2026-03-04 16:25:00+00:00,0,,,
20260304_161508_ecbf428e,1772641560,2026-03-04 16:26:00,5154.48,5126.45,0.55,0.63,0.05,-1.8,,,,0.55,0.54,-1.77,-1.82,5155.51,5154.47,5154.48,5126.5,5126.4,5126.5,,,2026-03-04 16:26:00+00:00,0,,,
20260304_161508_ecbf428e,1772641620,2026-03-04 16:27:00,5155.27,5126.35,0.56,0.63,0.05,-1.42,,,,0.56,0.56,-1.4,-1.45,5154.8,5155.27,5155.28,5126.4,5126.3,5126.4,,,2026-03-04 16:27:00+00:00,0,,,
20260304_161508_ecbf428e,1772641680,2026-03-04 16:28:00,5158.15,5127.95,0.59,0.63,0.05,-0.91,,,,0.58,0.58,-1.0,-1.05,5156.24,5157.85,5157.86,5127.9,5127.9,5128.0,,,2026-03-04 16:28:00+00:00,0,,,
20260304_161508_ecbf428e,1772641740,2026-03-04 16:29:00,5155.11,5125.45,0.58,0.63,0.05,-1.12,,,,0.57,0.57,-1.26,-1.31,5155.12,5154.68,5154.7,5125.5,5125.4,5125.5,,,2026-03-04 16:29:00+00:00,0,,,
20260304_161508_ecbf428e,1772641800,2026-03-04 16:30:00,5155.39,5125.75,0.58,0.63,0.05,-1.12,,,,0.58,0.58,-1.1,-1.15,5155.96,5155.38,5155.4,5125.6,5125.7,5125.8,,,2026-03-04 16:30:00+00:00,0,,,
