run_id,minute_ts,bar_time_utc,p_close_mid,x_close_mid,ratio_close_mid,mean,std,z_mid,cross_up,cross_down,pos,ratio_exec_L,ratio_exec_S,z_exec_L,z_exec_S,p_last,p_bid,p_ask,x_last,x_bid,x_ask,signal,note,t,trades_count,trades_events,trades_actions,trades_reason_sample
20260228_065903_b8b90d7d,1772261940,2026-02-28 06:59:00,5346.6,5345.65,0.02,0.34,0.08,-4.02,0,0,,0.02,0.02,-4.01,-4.04,5346.59,5346.59,5346.6,5345.6,5345.6,5345.7,ENTRY_LONG,,2026-02-28 06:59:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262000,2026-02-28 07:00:00,5346.7,5343.95,0.05,0.34,0.08,-3.55,0,0,LONG_SPREAD,0.04,0.04,-3.72,-3.75,5346.55,5346.7,5346.71,5344.0,5344.7,5344.8,,,2026-02-28 07:00:00+00:00,1,ENTRY,open,ENTRY_LONG (1m) ZL=-4.012 <= -2.0
20260228_065903_b8b90d7d,1772262060,2026-02-28 07:01:00,5347.28,5344.95,0.04,0.34,0.08,-3.6,0,0,LONG_SPREAD,0.04,0.04,-3.58,-3.61,5347.39,5347.28,5347.29,5345.0,5344.9,5345.0,,,2026-02-28 07:01:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262120,2026-02-28 07:02:00,5349.46,5346.85,0.05,0.34,0.08,-3.48,0,0,LONG_SPREAD,0.05,0.05,-3.47,-3.5,5349.51,5349.45,5349.46,5346.9,5346.8,5346.9,,,2026-02-28 07:02:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262180,2026-02-28 07:03:00,5350.28,5348.85,0.03,0.33,0.08,-3.69,0,0,LONG_SPREAD,0.04,0.04,-3.52,-3.55,5350.29,5350.99,5351.0,5348.9,5348.8,5348.9,,,2026-02-28 07:03:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262240,2026-02-28 07:04:00,5353.4,5351.35,0.04,0.33,0.08,-3.51,0,0,LONG_SPREAD,0.04,0.04,-3.5,-3.52,5353.4,5353.39,5353.4,5351.3,5351.3,5351.4,,,2026-02-28 07:04:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262300,2026-02-28 07:05:00,5351.08,5343.65,0.14,0.33,0.08,-2.3,0,0,LONG_SPREAD,0.14,0.13,-2.33,-2.36,5351.09,5350.85,5350.88,5343.7,5343.6,5343.7,,,2026-02-28 07:05:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262360,2026-02-28 07:06:00,5343.98,5337.55,0.12,0.33,0.09,-2.5,0,0,LONG_SPREAD,0.11,0.11,-2.6,-2.62,5341.81,5343.36,5343.37,5336.1,5337.4,5337.5,,,2026-02-28 07:06:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262420,2026-02-28 07:07:00,5338.56,5330.75,0.15,0.33,0.09,-2.18,0,0,LONG_SPREAD,0.15,0.15,-2.17,-2.19,5338.56,5338.56,5338.57,5332.2,5330.7,5330.8,,,2026-02-28 07:07:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262480,2026-02-28 07:08:00,5338.12,5329.25,0.17,0.33,0.09,-1.94,0,0,LONG_SPREAD,0.16,0.16,-2.01,-2.03,5338.12,5337.54,5337.55,5329.3,5329.0,5329.1,,,2026-02-28 07:08:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262540,2026-02-28 07:09:00,5332.88,5325.65,0.14,0.33,0.09,-2.28,0,0,LONG_SPREAD,0.13,0.13,-2.3,-2.32,5332.86,5332.73,5332.74,5325.7,5325.6,5325.7,,,2026-02-28 07:09:00+00:00,0,,,
20260228_065903_b8b90d7d,1772262600,2026-02-28 07:10:00,5332.58,5324.05,0.16,0.33,0.09,-1.98,0,0,LONG_SPREAD,0.16,0.16,-2.02,-2.0,5332.25,5332.57,5332.35,5324.1,5324.0,5324.1,,,2026-02-28 07:10:00+00:00,0,,,
